"seller_id","seller_state","total_orders","total_revenue","avg_review_score","pct_late"
"4869f7a5dfa277a7dca6462dcf3b52b2","sp","1116","225586.34","4.14","11.5%"
"53243585a1d6dc2643021fd1853d8905","ba","346","215904.44","4.13","3.8%"
"4a3ca9315b744ce9f8e9374361493884","sp","1753","194699.12","3.83","11.0%"
"fa1c13f2614d7b5c4749cbc52fecda94","sp","574","189649.54","4.37","9.7%"
"7c67e1448b00f6e969d365cea6b010ab","sp","967","185170.23","3.35","9.5%"
"7e93a43ef30c4f03f38b393420bc753a","sp","318","165751.50","4.36","5.3%"
"da8622b14eb17ae2831f4ac5b9dab84a","sp","1305","159087.47","4.07","7.1%"
"7a67c85e85bb2ce8582c35f2203ad736","sp","1137","138608.77","4.27","5.8%"
"1025f0e2d44d7041d6cf58b6550e0bfa","sp","902","137179.80","3.88","9.2%"
"955fee9216a65b617aa5c0531780ce60","sp","1253","130753.82","4.09","8.0%"
"46dc3b2cc0980fb8ec44634e21d2718e","rj","497","120866.45","4.26","6.2%"
"6560211a19b47992c3666cc44a7e94c0","sp","1805","119729.83","3.95","6.2%"
"7d13fca15225358621be4086e1eb0964","sp","555","112027.29","4.02","12.0%"
"620c87c171fb2a6dd6e8bb4dec959fc6","rj","716","111242.80","4.27","9.3%"
"5dceca129747e92ff8ef7a997dc4f8ca","sp","318","109459.93","4.02","5.9%"
"1f50f920176fa81dab994f9023523100","sp","1394","106226.51","3.99","9.2%"
"cc419e0650a3c5ba77189a1882b7556a","sp","1647","100837.00","4.14","6.0%"
"a1043bafd471dff536d0c462352beb48","mg","700","99011.23","4.25","5.6%"
"3d871de0142ce09b7081e2b9d1733cb1","sp","1053","92405.00","4.15","5.9%"
"edb1ef5e36e0c8cd84eb3c9b003e486d","rj","165","79144.90","4.45","7.5%"
